-----------------------------------------------------------------------
 | Scene # | Start Frame |  Start Time  |  End Frame  |   End Time   |
-----------------------------------------------------------------------
 |      1  |           0 | 00:00:00.000 |         141 | 00:00:04.705 |
 |      2  |         141 | 00:00:04.705 |         160 | 00:00:05.339 |
 |      3  |         160 | 00:00:05.339 |         176 | 00:00:05.873 |
 |      4  |         176 | 00:00:05.873 |         191 | 00:00:06.373 |
 |      5  |         191 | 00:00:06.373 |         218 | 00:00:07.274 |
 |      6  |         218 | 00:00:07.274 |         491 | 00:00:16.383 |
 |      7  |         491 | 00:00:16.383 |         507 | 00:00:16.917 |
 |      8  |         507 | 00:00:16.917 |         604 | 00:00:20.153 |
 |      9  |         604 | 00:00:20.153 |         764 | 00:00:25.492 |
 |     10  |         764 | 00:00:25.492 |         884 | 00:00:29.496 |
 |     11  |         884 | 00:00:29.496 |         974 | 00:00:32.499 |
 |     12  |         974 | 00:00:32.499 |        1060 | 00:00:35.369 |
 |     13  |        1060 | 00:00:35.369 |        1160 | 00:00:38.705 |
 |     14  |        1160 | 00:00:38.705 |        1186 | 00:00:39.573 |
 |     15  |        1186 | 00:00:39.573 |        1214 | 00:00:40.507 |
 |     16  |        1214 | 00:00:40.507 |        1291 | 00:00:43.076 |
 |     17  |        1291 | 00:00:43.076 |        1336 | 00:00:44.578 |
 |     18  |        1336 | 00:00:44.578 |        1427 | 00:00:47.614 |
 |     19  |        1427 | 00:00:47.614 |        1516 | 00:00:50.584 |
 |     20  |        1516 | 00:00:50.584 |        1605 | 00:00:53.553 |
 |     21  |        1605 | 00:00:53.553 |        1667 | 00:00:55.622 |
 |     22  |        1667 | 00:00:55.622 |        1699 | 00:00:56.690 |
 |     23  |        1699 | 00:00:56.690 |        1716 | 00:00:57.257 |
 |     24  |        1716 | 00:00:57.257 |        1731 | 00:00:57.758 |
 |     25  |        1731 | 00:00:57.758 |        1774 | 00:00:59.192 |
 |     26  |        1774 | 00:00:59.192 |        1805 | 00:01:00.227 |
 |     27  |        1805 | 00:01:00.227 |        1822 | 00:01:00.794 |
 |     28  |        1822 | 00:01:00.794 |        1862 | 00:01:02.129 |
 |     29  |        1862 | 00:01:02.129 |        1877 | 00:01:02.629 |
 |     30  |        1877 | 00:01:02.629 |        1940 | 00:01:04.731 |
 |     31  |        1940 | 00:01:04.731 |        2034 | 00:01:07.868 |
 |     32  |        2034 | 00:01:07.868 |        2126 | 00:01:10.938 |
 |     33  |        2126 | 00:01:10.938 |        2223 | 00:01:14.174 |
 |     34  |        2223 | 00:01:14.174 |        2251 | 00:01:15.108 |
 |     35  |        2251 | 00:01:15.108 |        2276 | 00:01:15.943 |
 |     36  |        2276 | 00:01:15.943 |        2318 | 00:01:17.344 |
 |     37  |        2318 | 00:01:17.344 |        2382 | 00:01:19.479 |
 |     38  |        2382 | 00:01:19.479 |        2533 | 00:01:24.518 |
 |     39  |        2533 | 00:01:24.518 |        2609 | 00:01:27.054 |
 |     40  |        2609 | 00:01:27.054 |        2723 | 00:01:30.857 |
 |     41  |        2723 | 00:01:30.857 |        2913 | 00:01:37.197 |
 |     42  |        2913 | 00:01:37.197 |        2994 | 00:01:39.900 |
 |     43  |        2994 | 00:01:39.900 |        3065 | 00:01:42.269 |
 |     44  |        3065 | 00:01:42.269 |        3133 | 00:01:44.538 |
 |     45  |        3133 | 00:01:44.538 |        3198 | 00:01:46.707 |
 |     46  |        3198 | 00:01:46.707 |        3223 | 00:01:47.541 |
 |     47  |        3223 | 00:01:47.541 |        3246 | 00:01:48.308 |
 |     48  |        3246 | 00:01:48.308 |        3261 | 00:01:48.809 |
 |     49  |        3261 | 00:01:48.809 |        3281 | 00:01:49.476 |
 |     50  |        3281 | 00:01:49.476 |        3412 | 00:01:53.847 |
 |     51  |        3412 | 00:01:53.847 |        3531 | 00:01:57.818 |
 |     52  |        3531 | 00:01:57.818 |        3638 | 00:02:01.388 |
 |     53  |        3638 | 00:02:01.388 |        3727 | 00:02:04.358 |
 |     54  |        3727 | 00:02:04.358 |        3928 | 00:02:11.064 |
 |     55  |        3928 | 00:02:11.064 |        3989 | 00:02:13.100 |
 |     56  |        3989 | 00:02:13.100 |        4036 | 00:02:14.668 |
 |     57  |        4036 | 00:02:14.668 |        4131 | 00:02:17.838 |
 |     58  |        4131 | 00:02:17.838 |        4163 | 00:02:18.905 |
 |     59  |        4163 | 00:02:18.905 |        4183 | 00:02:19.573 |
 |     60  |        4183 | 00:02:19.573 |        4201 | 00:02:20.173 |
 |     61  |        4201 | 00:02:20.173 |        4307 | 00:02:23.710 |
 |     62  |        4307 | 00:02:23.710 |        4355 | 00:02:25.312 |
 |     63  |        4355 | 00:02:25.312 |        4475 | 00:02:29.316 |
 |     64  |        4475 | 00:02:29.316 |        4536 | 00:02:31.351 |
 |     65  |        4536 | 00:02:31.351 |        4615 | 00:02:33.987 |
 |     66  |        4615 | 00:02:33.987 |        4656 | 00:02:35.355 |
 |     67  |        4656 | 00:02:35.355 |        4712 | 00:02:37.224 |
 |     68  |        4712 | 00:02:37.224 |        4873 | 00:02:42.596 |
 |     69  |        4873 | 00:02:42.596 |        4897 | 00:02:43.397 |
 |     70  |        4897 | 00:02:43.397 |        4981 | 00:02:46.199 |
 |     71  |        4981 | 00:02:46.199 |        5067 | 00:02:49.069 |
 |     72  |        5067 | 00:02:49.069 |        5163 | 00:02:52.272 |
 |     73  |        5163 | 00:02:52.272 |        5193 | 00:02:53.273 |
 |     74  |        5193 | 00:02:53.273 |        5231 | 00:02:54.541 |
 |     75  |        5231 | 00:02:54.541 |        5350 | 00:02:58.512 |
 |     76  |        5350 | 00:02:58.512 |        5402 | 00:03:00.247 |
 |     77  |        5402 | 00:03:00.247 |        5459 | 00:03:02.149 |
 |     78  |        5459 | 00:03:02.149 |        5521 | 00:03:04.217 |
 |     79  |        5521 | 00:03:04.217 |        5610 | 00:03:07.187 |
 |     80  |        5610 | 00:03:07.187 |        5712 | 00:03:10.590 |
 |     81  |        5712 | 00:03:10.590 |        5823 | 00:03:14.294 |
 |     82  |        5823 | 00:03:14.294 |        6014 | 00:03:20.667 |
 |     83  |        6014 | 00:03:20.667 |        6059 | 00:03:22.169 |
 |     84  |        6059 | 00:03:22.169 |        6107 | 00:03:23.770 |
 |     85  |        6107 | 00:03:23.770 |        6163 | 00:03:25.639 |
 |     86  |        6163 | 00:03:25.639 |        6214 | 00:03:27.340 |
 |     87  |        6214 | 00:03:27.340 |        6261 | 00:03:28.909 |
 |     88  |        6261 | 00:03:28.909 |        6291 | 00:03:29.910 |
 |     89  |        6291 | 00:03:29.910 |        6359 | 00:03:32.179 |
 |     90  |        6359 | 00:03:32.179 |        6374 | 00:03:32.679 |
 |     91  |        6374 | 00:03:32.679 |        6389 | 00:03:33.180 |
 |     92  |        6389 | 00:03:33.180 |        6564 | 00:03:39.019 |
 |     93  |        6564 | 00:03:39.019 |        6658 | 00:03:42.155 |
 |     94  |        6658 | 00:03:42.155 |        6764 | 00:03:45.692 |
 |     95  |        6764 | 00:03:45.692 |        6861 | 00:03:48.929 |
 |     96  |        6861 | 00:03:48.929 |        6938 | 00:03:51.498 |
 |     97  |        6938 | 00:03:51.498 |        6971 | 00:03:52.599 |
 |     98  |        6971 | 00:03:52.599 |        6999 | 00:03:53.533 |
 |     99  |        6999 | 00:03:53.533 |        7035 | 00:03:54.734 |
 |    100  |        7035 | 00:03:54.734 |        7114 | 00:03:57.370 |
 |    101  |        7114 | 00:03:57.370 |        7216 | 00:04:00.774 |
 |    102  |        7216 | 00:04:00.774 |        7309 | 00:04:03.877 |
 |    103  |        7309 | 00:04:03.877 |        7422 | 00:04:07.647 |
 |    104  |        7422 | 00:04:07.647 |        7534 | 00:04:11.384 |
 |    105  |        7534 | 00:04:11.384 |        7550 | 00:04:11.918 |
 |    106  |        7550 | 00:04:11.918 |        7693 | 00:04:16.690 |
 |    107  |        7693 | 00:04:16.690 |        7751 | 00:04:18.625 |
 |    108  |        7751 | 00:04:18.625 |        7841 | 00:04:21.628 |
 |    109  |        7841 | 00:04:21.628 |        7904 | 00:04:23.730 |
 |    110  |        7904 | 00:04:23.730 |        7969 | 00:04:25.899 |
 |    111  |        7969 | 00:04:25.899 |        8011 | 00:04:27.300 |
 |    112  |        8011 | 00:04:27.300 |        8073 | 00:04:29.369 |
 |    113  |        8073 | 00:04:29.369 |        8217 | 00:04:34.174 |
 |    114  |        8217 | 00:04:34.174 |        8270 | 00:04:35.942 |
 |    115  |        8270 | 00:04:35.942 |        8338 | 00:04:38.211 |
 |    116  |        8338 | 00:04:38.211 |        8383 | 00:04:39.713 |
 |    117  |        8383 | 00:04:39.713 |        8437 | 00:04:41.515 |
 |    118  |        8437 | 00:04:41.515 |        8651 | 00:04:48.655 |
 |    119  |        8651 | 00:04:48.655 |        8757 | 00:04:52.192 |
 |    120  |        8757 | 00:04:52.192 |        8839 | 00:04:54.928 |
 |    121  |        8839 | 00:04:54.928 |        8927 | 00:04:57.864 |
 |    122  |        8927 | 00:04:57.864 |        9031 | 00:05:01.334 |
 |    123  |        9031 | 00:05:01.334 |        9120 | 00:05:04.304 |
 |    124  |        9120 | 00:05:04.304 |        9160 | 00:05:05.639 |
 |    125  |        9160 | 00:05:05.639 |        9175 | 00:05:06.139 |
 |    126  |        9175 | 00:05:06.139 |        9190 | 00:05:06.640 |
 |    127  |        9190 | 00:05:06.640 |        9205 | 00:05:07.140 |
 |    128  |        9205 | 00:05:07.140 |        9227 | 00:05:07.874 |
 |    129  |        9227 | 00:05:07.874 |        9299 | 00:05:10.277 |
 |    130  |        9299 | 00:05:10.277 |        9371 | 00:05:12.679 |
 |    131  |        9371 | 00:05:12.679 |        9386 | 00:05:13.180 |
 |    132  |        9386 | 00:05:13.180 |        9439 | 00:05:14.948 |
 |    133  |        9439 | 00:05:14.948 |        9500 | 00:05:16.983 |
 |    134  |        9500 | 00:05:16.983 |        9556 | 00:05:18.852 |
 |    135  |        9556 | 00:05:18.852 |        9641 | 00:05:21.688 |
 |    136  |        9641 | 00:05:21.688 |        9728 | 00:05:24.591 |
 |    137  |        9728 | 00:05:24.591 |        9761 | 00:05:25.692 |
 |    138  |        9761 | 00:05:25.692 |        9820 | 00:05:27.661 |
 |    139  |        9820 | 00:05:27.661 |        9869 | 00:05:29.296 |
 |    140  |        9869 | 00:05:29.296 |        9922 | 00:05:31.064 |
 |    141  |        9922 | 00:05:31.064 |       10013 | 00:05:34.100 |
 |    142  |       10013 | 00:05:34.100 |       10104 | 00:05:37.137 |
 |    143  |       10104 | 00:05:37.137 |       10156 | 00:05:38.872 |
 |    144  |       10156 | 00:05:38.872 |       10204 | 00:05:40.473 |
 |    145  |       10204 | 00:05:40.473 |       10225 | 00:05:41.174 |
 |    146  |       10225 | 00:05:41.174 |       10240 | 00:05:41.675 |
 |    147  |       10240 | 00:05:41.675 |       10259 | 00:05:42.309 |
 |    148  |       10259 | 00:05:42.309 |       10306 | 00:05:43.877 |
 |    149  |       10306 | 00:05:43.877 |       10401 | 00:05:47.047 |
 |    150  |       10401 | 00:05:47.047 |       10436 | 00:05:48.215 |
 |    151  |       10436 | 00:05:48.215 |       10520 | 00:05:51.017 |
 |    152  |       10520 | 00:05:51.017 |       10584 | 00:05:53.153 |
 |    153  |       10584 | 00:05:53.153 |       10688 | 00:05:56.623 |
 |    154  |       10688 | 00:05:56.623 |       10749 | 00:05:58.658 |
 |    155  |       10749 | 00:05:58.658 |       10809 | 00:06:00.660 |
 |    156  |       10809 | 00:06:00.660 |       10863 | 00:06:02.462 |
 |    157  |       10863 | 00:06:02.462 |       10936 | 00:06:04.898 |
 |    158  |       10936 | 00:06:04.898 |       10989 | 00:06:06.666 |
 |    159  |       10989 | 00:06:06.666 |       11056 | 00:06:08.902 |
 |    160  |       11056 | 00:06:08.902 |       11105 | 00:06:10.537 |
 |    161  |       11105 | 00:06:10.537 |       11152 | 00:06:12.105 |
 |    162  |       11152 | 00:06:12.105 |       11169 | 00:06:12.672 |
 |    163  |       11169 | 00:06:12.672 |       11200 | 00:06:13.707 |
 |    164  |       11200 | 00:06:13.707 |       11215 | 00:06:14.207 |
 |    165  |       11215 | 00:06:14.207 |       11331 | 00:06:18.078 |
 |    166  |       11331 | 00:06:18.078 |       11397 | 00:06:20.280 |
 |    167  |       11397 | 00:06:20.280 |       11438 | 00:06:21.648 |
 |    168  |       11438 | 00:06:21.648 |       11548 | 00:06:25.318 |
 |    169  |       11548 | 00:06:25.318 |       11671 | 00:06:29.422 |
 |    170  |       11671 | 00:06:29.422 |       11731 | 00:06:31.424 |
 |    171  |       11731 | 00:06:31.424 |       11804 | 00:06:33.860 |
 |    172  |       11804 | 00:06:33.860 |       11847 | 00:06:35.295 |
 |    173  |       11847 | 00:06:35.295 |       11928 | 00:06:37.998 |
 |    174  |       11928 | 00:06:37.998 |       11955 | 00:06:38.899 |
 |    175  |       11955 | 00:06:38.899 |       11971 | 00:06:39.432 |
 |    176  |       11971 | 00:06:39.432 |       11992 | 00:06:40.133 |
 |    177  |       11992 | 00:06:40.133 |       12026 | 00:06:41.268 |
 |    178  |       12026 | 00:06:41.268 |       12041 | 00:06:41.768 |
 |    179  |       12041 | 00:06:41.768 |       12070 | 00:06:42.736 |
 |    180  |       12070 | 00:06:42.736 |       12167 | 00:06:45.972 |
 |    181  |       12167 | 00:06:45.972 |       12227 | 00:06:47.974 |
 |    182  |       12227 | 00:06:47.974 |       12274 | 00:06:49.542 |
 |    183  |       12274 | 00:06:49.542 |       12352 | 00:06:52.145 |
 |    184  |       12352 | 00:06:52.145 |       12400 | 00:06:53.747 |
 |    185  |       12400 | 00:06:53.747 |       12471 | 00:06:56.116 |
 |    186  |       12471 | 00:06:56.116 |       12637 | 00:07:01.655 |
 |    187  |       12637 | 00:07:01.655 |       12715 | 00:07:04.257 |
 |    188  |       12715 | 00:07:04.257 |       12784 | 00:07:06.559 |
 |    189  |       12784 | 00:07:06.559 |       12877 | 00:07:09.663 |
 |    190  |       12877 | 00:07:09.663 |       12977 | 00:07:12.999 |
 |    191  |       12977 | 00:07:12.999 |       13044 | 00:07:15.235 |
 |    192  |       13044 | 00:07:15.235 |       13086 | 00:07:16.636 |
 |    193  |       13086 | 00:07:16.636 |       13118 | 00:07:17.704 |
 |    194  |       13118 | 00:07:17.704 |       13184 | 00:07:19.906 |
 |    195  |       13184 | 00:07:19.906 |       13205 | 00:07:20.607 |
 |    196  |       13205 | 00:07:20.607 |       13220 | 00:07:21.107 |
 |    197  |       13220 | 00:07:21.107 |       13245 | 00:07:21.942 |
 |    198  |       13245 | 00:07:21.942 |       13288 | 00:07:23.376 |
 |    199  |       13288 | 00:07:23.376 |       13323 | 00:07:24.544 |
 |    200  |       13323 | 00:07:24.544 |       13369 | 00:07:26.079 |
 |    201  |       13369 | 00:07:26.079 |       13412 | 00:07:27.514 |
 |    202  |       13412 | 00:07:27.514 |       13481 | 00:07:29.816 |
 |    203  |       13481 | 00:07:29.816 |       13529 | 00:07:31.418 |
 |    204  |       13529 | 00:07:31.418 |       13586 | 00:07:33.320 |
 |    205  |       13586 | 00:07:33.320 |       13642 | 00:07:35.188 |
 |    206  |       13642 | 00:07:35.188 |       13743 | 00:07:38.558 |
 |    207  |       13743 | 00:07:38.558 |       13849 | 00:07:42.095 |
 |    208  |       13849 | 00:07:42.095 |       14013 | 00:07:47.567 |
 |    209  |       14013 | 00:07:47.567 |       14159 | 00:07:52.439 |
 |    210  |       14159 | 00:07:52.439 |       14271 | 00:07:56.176 |
 |    211  |       14271 | 00:07:56.176 |       14537 | 00:08:05.051 |
 |    212  |       14537 | 00:08:05.051 |       14621 | 00:08:07.854 |
 |    213  |       14621 | 00:08:07.854 |       14728 | 00:08:11.424 |
 |    214  |       14728 | 00:08:11.424 |       14782 | 00:08:13.226 |
 |    215  |       14782 | 00:08:13.226 |       14821 | 00:08:14.527 |
 |    216  |       14821 | 00:08:14.527 |       15011 | 00:08:20.867 |
 |    217  |       15011 | 00:08:20.867 |       15100 | 00:08:23.837 |
 |    218  |       15100 | 00:08:23.837 |       15252 | 00:08:28.908 |
 |    219  |       15252 | 00:08:28.908 |       15273 | 00:08:29.609 |
 |    220  |       15273 | 00:08:29.609 |       15354 | 00:08:32.312 |
 |    221  |       15354 | 00:08:32.312 |       15390 | 00:08:33.513 |
 |    222  |       15390 | 00:08:33.513 |       15499 | 00:08:37.150 |
 |    223  |       15499 | 00:08:37.150 |       15548 | 00:08:38.785 |
 |    224  |       15548 | 00:08:38.785 |       15592 | 00:08:40.253 |
 |    225  |       15592 | 00:08:40.253 |       15631 | 00:08:41.554 |
 |    226  |       15631 | 00:08:41.554 |       15671 | 00:08:42.889 |
 |    227  |       15671 | 00:08:42.889 |       15831 | 00:08:48.228 |
 |    228  |       15831 | 00:08:48.228 |       16017 | 00:08:54.434 |
 |    229  |       16017 | 00:08:54.434 |       16096 | 00:08:57.070 |
 |    230  |       16096 | 00:08:57.070 |       16174 | 00:08:59.672 |
 |    231  |       16174 | 00:08:59.672 |       16229 | 00:09:01.508 |
 |    232  |       16229 | 00:09:01.508 |       16288 | 00:09:03.476 |
 |    233  |       16288 | 00:09:03.476 |       16327 | 00:09:04.778 |
 |    234  |       16327 | 00:09:04.778 |       16413 | 00:09:07.647 |
 |    235  |       16413 | 00:09:07.647 |       16520 | 00:09:11.217 |
 |    236  |       16520 | 00:09:11.217 |       16617 | 00:09:14.454 |
