-----------------------------------------------------------------------
 | Scene # | Start Frame |  Start Time  |  End Frame  |   End Time   |
-----------------------------------------------------------------------
 |      1  |           0 | 00:00:00.000 |         112 | 00:00:03.737 |
 |      2  |         112 | 00:00:03.737 |         131 | 00:00:04.371 |
 |      3  |         131 | 00:00:04.371 |         147 | 00:00:04.905 |
 |      4  |         147 | 00:00:04.905 |         163 | 00:00:05.439 |
 |      5  |         163 | 00:00:05.439 |         189 | 00:00:06.306 |
 |      6  |         189 | 00:00:06.306 |         357 | 00:00:11.912 |
 |      7  |         357 | 00:00:11.912 |         376 | 00:00:12.546 |
 |      8  |         376 | 00:00:12.546 |         392 | 00:00:13.080 |
 |      9  |         392 | 00:00:13.080 |         411 | 00:00:13.714 |
 |     10  |         411 | 00:00:13.714 |         432 | 00:00:14.414 |
 |     11  |         432 | 00:00:14.414 |         465 | 00:00:15.515 |
 |     12  |         465 | 00:00:15.515 |         568 | 00:00:18.952 |
 |     13  |         568 | 00:00:18.952 |         623 | 00:00:20.787 |
 |     14  |         623 | 00:00:20.787 |         664 | 00:00:22.155 |
 |     15  |         664 | 00:00:22.155 |         746 | 00:00:24.892 |
 |     16  |         746 | 00:00:24.892 |         781 | 00:00:26.059 |
 |     17  |         781 | 00:00:26.059 |         819 | 00:00:27.327 |
 |     18  |         819 | 00:00:27.327 |         879 | 00:00:29.329 |
 |     19  |         879 | 00:00:29.329 |         979 | 00:00:32.666 |
 |     20  |         979 | 00:00:32.666 |        1044 | 00:00:34.835 |
 |     21  |        1044 | 00:00:34.835 |        1104 | 00:00:36.837 |
 |     22  |        1104 | 00:00:36.837 |        1159 | 00:00:38.672 |
 |     23  |        1159 | 00:00:38.672 |        1269 | 00:00:42.342 |
 |     24  |        1269 | 00:00:42.342 |        1303 | 00:00:43.477 |
 |     25  |        1303 | 00:00:43.477 |        1376 | 00:00:45.913 |
 |     26  |        1376 | 00:00:45.913 |        1412 | 00:00:47.114 |
 |     27  |        1412 | 00:00:47.114 |        1473 | 00:00:49.149 |
 |     28  |        1473 | 00:00:49.149 |        1607 | 00:00:53.620 |
 |     29  |        1607 | 00:00:53.620 |        1661 | 00:00:55.422 |
 |     30  |        1661 | 00:00:55.422 |        1690 | 00:00:56.390 |
 |     31  |        1690 | 00:00:56.390 |        1717 | 00:00:57.291 |
 |     32  |        1717 | 00:00:57.291 |        1788 | 00:00:59.660 |
 |     33  |        1788 | 00:00:59.660 |        1850 | 00:01:01.728 |
 |     34  |        1850 | 00:01:01.728 |        1945 | 00:01:04.898 |
 |     35  |        1945 | 00:01:04.898 |        2376 | 00:01:19.279 |
 |     36  |        2376 | 00:01:19.279 |        2415 | 00:01:20.581 |
 |     37  |        2415 | 00:01:20.581 |        2499 | 00:01:23.383 |
 |     38  |        2499 | 00:01:23.383 |        2516 | 00:01:23.951 |
 |     39  |        2516 | 00:01:23.951 |        2589 | 00:01:26.386 |
 |     40  |        2589 | 00:01:26.386 |        2638 | 00:01:28.021 |
 |     41  |        2638 | 00:01:28.021 |        2831 | 00:01:34.461 |
 |     42  |        2831 | 00:01:34.461 |        2887 | 00:01:36.330 |
 |     43  |        2887 | 00:01:36.330 |        3000 | 00:01:40.100 |
 |     44  |        3000 | 00:01:40.100 |        3128 | 00:01:44.371 |
 |     45  |        3128 | 00:01:44.371 |        3218 | 00:01:47.374 |
 |     46  |        3218 | 00:01:47.374 |        3281 | 00:01:49.476 |
 |     47  |        3281 | 00:01:49.476 |        3325 | 00:01:50.944 |
 |     48  |        3325 | 00:01:50.944 |        3360 | 00:01:52.112 |
 |     49  |        3360 | 00:01:52.112 |        3422 | 00:01:54.181 |
 |     50  |        3422 | 00:01:54.181 |        3646 | 00:02:01.655 |
 |     51  |        3646 | 00:02:01.655 |        3671 | 00:02:02.489 |
 |     52  |        3671 | 00:02:02.489 |        3722 | 00:02:04.191 |
 |     53  |        3722 | 00:02:04.191 |        3769 | 00:02:05.759 |
 |     54  |        3769 | 00:02:05.759 |        3810 | 00:02:07.127 |
 |     55  |        3810 | 00:02:07.127 |        3827 | 00:02:07.694 |
 |     56  |        3827 | 00:02:07.694 |        3842 | 00:02:08.195 |
 |     57  |        3842 | 00:02:08.195 |        4117 | 00:02:17.371 |
 |     58  |        4117 | 00:02:17.371 |        4225 | 00:02:20.974 |
 |     59  |        4225 | 00:02:20.974 |        4266 | 00:02:22.342 |
 |     60  |        4266 | 00:02:22.342 |        4358 | 00:02:25.412 |
 |     61  |        4358 | 00:02:25.412 |        4454 | 00:02:28.615 |
 |     62  |        4454 | 00:02:28.615 |        4521 | 00:02:30.851 |
 |     63  |        4521 | 00:02:30.851 |        4754 | 00:02:38.625 |
 |     64  |        4754 | 00:02:38.625 |        4985 | 00:02:46.333 |
 |     65  |        4985 | 00:02:46.333 |        5054 | 00:02:48.635 |
 |     66  |        5054 | 00:02:48.635 |        5097 | 00:02:50.070 |
 |     67  |        5097 | 00:02:50.070 |        5289 | 00:02:56.476 |
 |     68  |        5289 | 00:02:56.476 |        5358 | 00:02:58.779 |
 |     69  |        5358 | 00:02:58.779 |        5554 | 00:03:05.318 |
 |     70  |        5554 | 00:03:05.318 |        5659 | 00:03:08.822 |
 |     71  |        5659 | 00:03:08.822 |        5720 | 00:03:10.857 |
 |     72  |        5720 | 00:03:10.857 |        5844 | 00:03:14.995 |
 |     73  |        5844 | 00:03:14.995 |        5874 | 00:03:15.996 |
 |     74  |        5874 | 00:03:15.996 |        5962 | 00:03:18.932 |
 |     75  |        5962 | 00:03:18.932 |        6140 | 00:03:24.871 |
 |     76  |        6140 | 00:03:24.871 |        6254 | 00:03:28.675 |
 |     77  |        6254 | 00:03:28.675 |        6338 | 00:03:31.478 |
 |     78  |        6338 | 00:03:31.478 |        6420 | 00:03:34.214 |
 |     79  |        6420 | 00:03:34.214 |        6521 | 00:03:37.584 |
 |     80  |        6521 | 00:03:37.584 |        6564 | 00:03:39.019 |
 |     81  |        6564 | 00:03:39.019 |        6607 | 00:03:40.454 |
 |     82  |        6607 | 00:03:40.454 |        6704 | 00:03:43.690 |
 |     83  |        6704 | 00:03:43.690 |        6738 | 00:03:44.825 |
 |     84  |        6738 | 00:03:44.825 |        6830 | 00:03:47.894 |
 |     85  |        6830 | 00:03:47.894 |        6973 | 00:03:52.666 |
 |     86  |        6973 | 00:03:52.666 |        7108 | 00:03:57.170 |
 |     87  |        7108 | 00:03:57.170 |        7192 | 00:03:59.973 |
 |     88  |        7192 | 00:03:59.973 |        7274 | 00:04:02.709 |
 |     89  |        7274 | 00:04:02.709 |        7294 | 00:04:03.376 |
 |     90  |        7294 | 00:04:03.376 |        7315 | 00:04:04.077 |
 |     91  |        7315 | 00:04:04.077 |        7418 | 00:04:07.514 |
 |     92  |        7418 | 00:04:07.514 |        7479 | 00:04:09.549 |
 |     93  |        7479 | 00:04:09.549 |        7548 | 00:04:11.852 |
 |     94  |        7548 | 00:04:11.852 |        7631 | 00:04:14.621 |
 |     95  |        7631 | 00:04:14.621 |        7667 | 00:04:15.822 |
 |     96  |        7667 | 00:04:15.822 |        7835 | 00:04:21.428 |
 |     97  |        7835 | 00:04:21.428 |        7882 | 00:04:22.996 |
 |     98  |        7882 | 00:04:22.996 |        7945 | 00:04:25.098 |
 |     99  |        7945 | 00:04:25.098 |        8013 | 00:04:27.367 |
 |    100  |        8013 | 00:04:27.367 |        8112 | 00:04:30.670 |
 |    101  |        8112 | 00:04:30.670 |        8298 | 00:04:36.877 |
 |    102  |        8298 | 00:04:36.877 |        8359 | 00:04:38.912 |
 |    103  |        8359 | 00:04:38.912 |        8477 | 00:04:42.849 |
 |    104  |        8477 | 00:04:42.849 |        8494 | 00:04:43.416 |
 |    105  |        8494 | 00:04:43.416 |        8593 | 00:04:46.720 |
 |    106  |        8593 | 00:04:46.720 |        8672 | 00:04:49.356 |
 |    107  |        8672 | 00:04:49.356 |        8727 | 00:04:51.191 |
 |    108  |        8727 | 00:04:51.191 |        8817 | 00:04:54.194 |
 |    109  |        8817 | 00:04:54.194 |        8892 | 00:04:56.696 |
 |    110  |        8892 | 00:04:56.696 |        8923 | 00:04:57.731 |
 |    111  |        8923 | 00:04:57.731 |        9083 | 00:05:03.069 |
 |    112  |        9083 | 00:05:03.069 |        9137 | 00:05:04.871 |
 |    113  |        9137 | 00:05:04.871 |        9212 | 00:05:07.374 |
 |    114  |        9212 | 00:05:07.374 |        9255 | 00:05:08.808 |
 |    115  |        9255 | 00:05:08.808 |        9306 | 00:05:10.510 |
 |    116  |        9306 | 00:05:10.510 |        9368 | 00:05:12.579 |
 |    117  |        9368 | 00:05:12.579 |        9422 | 00:05:14.381 |
 |    118  |        9422 | 00:05:14.381 |        9478 | 00:05:16.249 |
 |    119  |        9478 | 00:05:16.249 |        9501 | 00:05:17.017 |
 |    120  |        9501 | 00:05:17.017 |        9552 | 00:05:18.718 |
 |    121  |        9552 | 00:05:18.718 |        9596 | 00:05:20.187 |
 |    122  |        9596 | 00:05:20.187 |        9663 | 00:05:22.422 |
 |    123  |        9663 | 00:05:22.422 |        9804 | 00:05:27.127 |
 |    124  |        9804 | 00:05:27.127 |        9885 | 00:05:29.829 |
 |    125  |        9885 | 00:05:29.829 |        9938 | 00:05:31.598 |
 |    126  |        9938 | 00:05:31.598 |       10012 | 00:05:34.067 |
 |    127  |       10012 | 00:05:34.067 |       10095 | 00:05:36.837 |
 |    128  |       10095 | 00:05:36.837 |       10380 | 00:05:46.346 |
 |    129  |       10380 | 00:05:46.346 |       10449 | 00:05:48.648 |
 |    130  |       10449 | 00:05:48.648 |       10580 | 00:05:53.019 |
 |    131  |       10580 | 00:05:53.019 |       10634 | 00:05:54.821 |
 |    132  |       10634 | 00:05:54.821 |       10677 | 00:05:56.256 |
 |    133  |       10677 | 00:05:56.256 |       10720 | 00:05:57.691 |
 |    134  |       10720 | 00:05:57.691 |       10855 | 00:06:02.195 |
 |    135  |       10855 | 00:06:02.195 |       11002 | 00:06:07.100 |
 |    136  |       11002 | 00:06:07.100 |       11090 | 00:06:10.036 |
 |    137  |       11090 | 00:06:10.036 |       11138 | 00:06:11.638 |
 |    138  |       11138 | 00:06:11.638 |       11239 | 00:06:15.008 |
 |    139  |       11239 | 00:06:15.008 |       11301 | 00:06:17.077 |
 |    140  |       11301 | 00:06:17.077 |       11350 | 00:06:18.712 |
 |    141  |       11350 | 00:06:18.712 |       11585 | 00:06:26.553 |
 |    142  |       11585 | 00:06:26.553 |       11877 | 00:06:36.296 |
 |    143  |       11877 | 00:06:36.296 |       11985 | 00:06:39.899 |
 |    144  |       11985 | 00:06:39.899 |       12047 | 00:06:41.968 |
 |    145  |       12047 | 00:06:41.968 |       12101 | 00:06:43.770 |
 |    146  |       12101 | 00:06:43.770 |       12214 | 00:06:47.540 |
 |    147  |       12214 | 00:06:47.540 |       12302 | 00:06:50.477 |
 |    148  |       12302 | 00:06:50.477 |       12520 | 00:06:57.751 |
 |    149  |       12520 | 00:06:57.751 |       12684 | 00:07:03.223 |
 |    150  |       12684 | 00:07:03.223 |       12891 | 00:07:10.130 |
 |    151  |       12891 | 00:07:10.130 |       12997 | 00:07:13.667 |
 |    152  |       12997 | 00:07:13.667 |       13036 | 00:07:14.968 |
 |    153  |       13036 | 00:07:14.968 |       13194 | 00:07:20.240 |
 |    154  |       13194 | 00:07:20.240 |       13250 | 00:07:22.108 |
 |    155  |       13250 | 00:07:22.108 |       13375 | 00:07:26.279 |
 |    156  |       13375 | 00:07:26.279 |       13438 | 00:07:28.381 |
 |    157  |       13438 | 00:07:28.381 |       13487 | 00:07:30.016 |
 |    158  |       13487 | 00:07:30.016 |       13532 | 00:07:31.518 |
 |    159  |       13532 | 00:07:31.518 |       13612 | 00:07:34.187 |
 |    160  |       13612 | 00:07:34.187 |       13680 | 00:07:36.456 |
 |    161  |       13680 | 00:07:36.456 |       13764 | 00:07:39.259 |
 |    162  |       13764 | 00:07:39.259 |       13823 | 00:07:41.227 |
 |    163  |       13823 | 00:07:41.227 |       13889 | 00:07:43.430 |
 |    164  |       13889 | 00:07:43.430 |       13963 | 00:07:45.899 |
 |    165  |       13963 | 00:07:45.899 |       14211 | 00:07:54.174 |
 |    166  |       14211 | 00:07:54.174 |       14365 | 00:07:59.312 |
 |    167  |       14365 | 00:07:59.312 |       14419 | 00:08:01.114 |
 |    168  |       14419 | 00:08:01.114 |       14604 | 00:08:07.287 |
 |    169  |       14604 | 00:08:07.287 |       14655 | 00:08:08.988 |
 |    170  |       14655 | 00:08:08.988 |       14819 | 00:08:14.461 |
 |    171  |       14819 | 00:08:14.461 |       14887 | 00:08:16.730 |
 |    172  |       14887 | 00:08:16.730 |       15017 | 00:08:21.067 |
 |    173  |       15017 | 00:08:21.067 |       15109 | 00:08:24.137 |
 |    174  |       15109 | 00:08:24.137 |       15143 | 00:08:25.271 |
 |    175  |       15143 | 00:08:25.271 |       15565 | 00:08:39.352 |
 |    176  |       15565 | 00:08:39.352 |       15595 | 00:08:40.353 |
 |    177  |       15595 | 00:08:40.353 |       15633 | 00:08:41.621 |
 |    178  |       15633 | 00:08:41.621 |       15663 | 00:08:42.622 |
 |    179  |       15663 | 00:08:42.622 |       15773 | 00:08:46.292 |
 |    180  |       15773 | 00:08:46.292 |       15884 | 00:08:49.996 |
 |    181  |       15884 | 00:08:49.996 |       15915 | 00:08:51.030 |
 |    182  |       15915 | 00:08:51.030 |       15984 | 00:08:53.333 |
 |    183  |       15984 | 00:08:53.333 |       15999 | 00:08:53.833 |
 |    184  |       15999 | 00:08:53.833 |       16067 | 00:08:56.102 |
 |    185  |       16067 | 00:08:56.102 |       16101 | 00:08:57.237 |
 |    186  |       16101 | 00:08:57.237 |       16162 | 00:08:59.272 |
 |    187  |       16162 | 00:08:59.272 |       16189 | 00:09:00.173 |
 |    188  |       16189 | 00:09:00.173 |       16235 | 00:09:01.708 |
 |    189  |       16235 | 00:09:01.708 |       16330 | 00:09:04.878 |
 |    190  |       16330 | 00:09:04.878 |       16453 | 00:09:08.982 |
 |    191  |       16453 | 00:09:08.982 |       16541 | 00:09:11.918 |
 |    192  |       16541 | 00:09:11.918 |       16573 | 00:09:12.986 |
 |    193  |       16573 | 00:09:12.986 |       16628 | 00:09:14.821 |
 |    194  |       16628 | 00:09:14.821 |       16716 | 00:09:17.757 |
 |    195  |       16716 | 00:09:17.757 |       16795 | 00:09:20.393 |
 |    196  |       16795 | 00:09:20.393 |       16855 | 00:09:22.395 |
 |    197  |       16855 | 00:09:22.395 |       16921 | 00:09:24.597 |
 |    198  |       16921 | 00:09:24.597 |       17009 | 00:09:27.534 |
 |    199  |       17009 | 00:09:27.534 |       17093 | 00:09:30.336 |
 |    200  |       17093 | 00:09:30.336 |       17193 | 00:09:33.673 |
 |    201  |       17193 | 00:09:33.673 |       17271 | 00:09:36.276 |
 |    202  |       17271 | 00:09:36.276 |       17349 | 00:09:38.878 |
 |    203  |       17349 | 00:09:38.878 |       17497 | 00:09:43.817 |
 |    204  |       17497 | 00:09:43.817 |       17598 | 00:09:47.187 |
 |    205  |       17598 | 00:09:47.187 |       17647 | 00:09:48.822 |
 |    206  |       17647 | 00:09:48.822 |       17738 | 00:09:51.858 |
 |    207  |       17738 | 00:09:51.858 |       17789 | 00:09:53.560 |
 |    208  |       17789 | 00:09:53.560 |       17820 | 00:09:54.594 |
 |    209  |       17820 | 00:09:54.594 |       17835 | 00:09:55.095 |
 |    210  |       17835 | 00:09:55.095 |       17893 | 00:09:57.030 |
 |    211  |       17893 | 00:09:57.030 |       17949 | 00:09:58.898 |
